38999;67;"Вх. Конус + Вых. Муфта";;0;1;UG-038-9;;10;;;;"/UserFiles/Image/Catalog/conechniki/КМуфт.svg ";0;124;0;шт.;;0;Скрытые/Услуги/мпо1м;"/UserFiles/Image/Catalog/conechniki/КМуфт.svg ";1740724307;05926e8fc155fab038c7a521bd2c85d2
38998;67;"Вх. Цилиндр + Вых. Муфта";;0;1;UG-038-8;;9;;;;"/UserFiles/Image/Catalog/conechniki/ЦМуфт.svg ";0;124;0;шт.;;0;Скрытые/Услуги/мпо1м;"/UserFiles/Image/Catalog/conechniki/ЦМуфт.svg ";1740724307;05926e8fc155fab038c7a521bd2c85d2
38997;67;"Вх. Конус + Вых. Полый шпонка";;0;1;UG-038-7;;8;;;;"/UserFiles/Image/Catalog/conechniki/КШпонка.svg ";0;124;0;шт.;;0;Скрытые/Услуги/мпо1м;"/UserFiles/Image/Catalog/conechniki/КШпонка.svg ";1740724307;05926e8fc155fab038c7a521bd2c85d2
38996;67;"Вх. Цилиндр + Вых. Полый шпонка";;0;1;UG-038-6;;7;;;;"/UserFiles/Image/Catalog/conechniki/ЦШпонка.svg ";0;124;0;шт.;;0;Скрытые/Услуги/мпо1м;"/UserFiles/Image/Catalog/conechniki/ЦШпонка.svg ";1740724307;05926e8fc155fab038c7a521bd2c85d2
38995;67;"Вх. Конус + Вых. Полый шлицы";;0;1;UG-038-5;;6;;;;"/UserFiles/Image/Catalog/conechniki/КШлиц.svg ";0;124;0;шт.;;0;Скрытые/Услуги/мпо1м;"/UserFiles/Image/Catalog/conechniki/КШлиц.svg ";1740724307;05926e8fc155fab038c7a521bd2c85d2
38994;67;"Вх. Цилиндр + Вых. Полый шлицы";;0;1;UG-038-4;;5;;;;"/UserFiles/Image/Catalog/conechniki/ЦШлиц.svg ";0;124;0;шт.;;0;Скрытые/Услуги/мпо1м;"/UserFiles/Image/Catalog/conechniki/ЦШлиц.svg ";1740724307;05926e8fc155fab038c7a521bd2c85d2
38993;67;"Вх. Цилиндр + Вых. Конус";;0;1;UG-038-3;;4;;;;"/UserFiles/Image/Catalog/conechniki/ЦК.svg ";0;124;0;шт.;;0;Скрытые/Услуги/мпо1м;"/UserFiles/Image/Catalog/conechniki/ЦК.svg ";1740724307;05926e8fc155fab038c7a521bd2c85d2
38992;67;"Вх. Конус + Вых. Цилиндр";;0;1;UG-038-2;;3;;;;"/UserFiles/Image/Catalog/conechniki/КЦ.svg ";0;124;0;шт.;;0;Скрытые/Услуги/мпо1м;"/UserFiles/Image/Catalog/conechniki/КЦ.svg ";1740724307;05926e8fc155fab038c7a521bd2c85d2
38991;67;"Вх. Цилиндр + Вых. Цилиндр";;0;1;UG-038-1;;2;;;;"/UserFiles/Image/Catalog/conechniki/ЦЦ.svg ";0;124;0;шт.;;0;Скрытые/Услуги/мпо1м;"/UserFiles/Image/Catalog/conechniki/ЦЦ.svg ";1740724307;05926e8fc155fab038c7a521bd2c85d2
38990;67;"Вх. Конус + Вых. Конус";;0;1;UG-038-0;;1;;;;"/UserFiles/Image/Catalog/conechniki/КК.svg ";0;124;0;шт.;;0;Скрытые/Услуги/мпо1м;"/UserFiles/Image/Catalog/conechniki/КК.svg ";1740724307;05926e8fc155fab038c7a521bd2c85d2
38171;68;"Мотор-редуктор МПО1М-10-5,74-5,5/250-В-УХЛ";;115620;1;;;12;"Мотор-редуктор МПО1М-10-5,74-5,5/250-В-УХЛ";"Мотор-редуктор МПО1М-10-5,74-5,5/250-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-5,5/250-В-УХЛ";;;1;5,74-5,5/250;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38170;68;"Мотор-редуктор МПО1М-10-5,74-3/250-В-УХЛ";;115360;1;;;11;"Мотор-редуктор МПО1М-10-5,74-3/250-В-УХЛ";"Мотор-редуктор МПО1М-10-5,74-3/250-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-3/250-В-УХЛ";;;1;5,74-3/250;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38169;68;"Мотор-редуктор МПО1М-10-7,34-11/195-В-УХЛ";;115100;1;;;10;"Мотор-редуктор МПО1М-10-7,34-11/195-В-УХЛ";"Мотор-редуктор МПО1М-10-7,34-11/195-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-11/195-В-УХЛ";;;1;7,34-11/195;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38168;68;"Мотор-редуктор МПО1М-10-7,34-7,5/195-В-УХЛ";;114840;1;;;9;"Мотор-редуктор МПО1М-10-7,34-7,5/195-В-УХЛ";"Мотор-редуктор МПО1М-10-7,34-7,5/195-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-7,5/195-В-УХЛ";;;1;7,34-7,5/195;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38167;68;"Мотор-редуктор МПО1М-10-7,34-5,5/195-В-УХЛ";;114580;1;;;8;"Мотор-редуктор МПО1М-10-7,34-5,5/195-В-УХЛ";"Мотор-редуктор МПО1М-10-7,34-5,5/195-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-5,5/195-В-УХЛ";;;1;7,34-5,5/195;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38166;68;"Мотор-редуктор МПО1М-10-7,34-3/195-В-УХЛ";;114320;1;;;7;"Мотор-редуктор МПО1М-10-7,34-3/195-В-УХЛ";"Мотор-редуктор МПО1М-10-7,34-3/195-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-3/195-В-УХЛ";;;1;7,34-3/195;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38165;68;"Мотор-редуктор МПО1М-10-5,74-7,5/170-В-УХЛ";;114060;1;;;6;"Мотор-редуктор МПО1М-10-5,74-7,5/170-В-УХЛ";"Мотор-редуктор МПО1М-10-5,74-7,5/170-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-7,5/170-В-УХЛ";;;1;5,74-7,5/170;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38164;68;"Мотор-редуктор МПО1М-10-5,74-5,5/170-В-УХЛ";;113800;1;;;5;"Мотор-редуктор МПО1М-10-5,74-5,5/170-В-УХЛ";"Мотор-редуктор МПО1М-10-5,74-5,5/170-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-5,5/170-В-УХЛ";;;1;5,74-5,5/170;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38163;68;"Мотор-редуктор МПО1М-10-5,74-3/170-В-УХЛ";;113540;1;;;4;"Мотор-редуктор МПО1М-10-5,74-3/170-В-УХЛ";"Мотор-редуктор МПО1М-10-5,74-3/170-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-3/170-В-УХЛ";;;1;5,74-3/170;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38162;68;"Мотор-редуктор МПО1М-10-7,34-7,5/130-В-УХЛ";;113280;1;;;3;"Мотор-редуктор МПО1М-10-7,34-7,5/130-В-УХЛ";"Мотор-редуктор МПО1М-10-7,34-7,5/130-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-7,5/130-В-УХЛ";;;1;7,34-7,5/130;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38161;68;"Мотор-редуктор МПО1М-10-7,34-5,5/130-В-УХЛ";;113020;1;;;2;"Мотор-редуктор МПО1М-10-7,34-5,5/130-В-УХЛ";"Мотор-редуктор МПО1М-10-7,34-5,5/130-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-5,5/130-В-УХЛ";;;1;7,34-5,5/130;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38160;68;"Мотор-редуктор МПО1М-10-7,34-3/130-В-УХЛ";;112760;1;;;1;"Мотор-редуктор МПО1М-10-7,34-3/130-В-УХЛ";"Мотор-редуктор МПО1М-10-7,34-3/130-В-УХЛ";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-3/130-В-УХЛ";;;1;7,34-3/130;124;0;шт.;В;0;"УХЛ/Агрегаты УХЛ";1740724308;05926e8fc155fab038c7a521bd2c85d2
38159;68;"Мотор-редуктор МПО1М-10-УХЛ";"<p><strong>Мотор-редуктор МПО1М-10</strong> — это высококачественное устройство, сочетающее в себе электродвигатель и редуктор в одном корпусе. Оно обеспечивает эффективное преобразование и передачу крутящего момента, что делает его незаменимым в различных отраслях <strong>промышленности</strong>.</p>
<p>Мотор-редуктор МПО1М-10 отличается <strong>надежностью</strong>, <strong>долговечностью</strong> и простотой в эксплуатации. Его компактная конструкция позволяет легко интегрировать устройство в существующие системы, а высокая производительность гарантирует стабильную работу даже в условиях интенсивной эксплуатации.</p>
<p>Этот мотор-редуктор подходит для использования в <strong>конвейерных линиях</strong>, <strong>подъемных механизмах</strong>, насосах, вентиляторах и другом промышленном оборудовании. Благодаря своей универсальности и надежности, <strong>МПО1М-10</strong> является отличным выбором для предприятий, стремящихся к повышению эффективности своих производственных процессов.</p> ";112500;1;KG-038-4;"a:4:{i:163;a:1:{i:0;s:3:""416"";}i:164;a:1:{i:0;s:3:""417"";}i:165;a:1:{i:0;s:3:""418"";}i:166;a:1:{i:0;s:3:""419"";}}";1;"Мотор-редуктор МПО1М-10-7,34-3/130-УХЛ";"Мотор-редуктор МПО1М-10-7,34-3/130-УХЛ";"мпо,мпо1м,мпо1м-10,мотор-редуктор,мотор-редуктор МПО1М-10-7,34-3/130-УХЛ";/UserFiles/Image/Catalog/mr/Mpo_krangear.jpg;0;"38160,38161,38162,38163,38164,38165,38166,38167,38168,38169,38170,38171,38172,38173,38174,38175,38176,38177,38178,38179,38180,38181,38182,38183,38184,38185,38186,38187,38188,38189,38190,38191,38192,38193,38194,38195,38196,38197,38198,38199,38200,38201,38202,38203,38204,38205,38206,38207,38208,38209,38210 ";124;45000;шт.;;38990,38991,38992,38993,38994,38995,38996,38997,38998,38999;"УХЛ/Агрегаты УХЛ";i163-416ii164-417ii165-418ii166-419i;/UserFiles/Image/Catalog/mr/Mpo_krangear.jpg;1740724308;05926e8fc155fab038c7a521bd2c85d2
38158;69;"Мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2П-У1";;126020;1;;;52;"Мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2П-У1";"Мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2П-У1";;;1;5,74-7,5/250;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38157;69;"Мотор-редуктор МПО1М-10-5,74-5,5/250-Ф2П-У1";;125760;1;;;51;"Мотор-редуктор МПО1М-10-5,74-5,5/250-Ф2П-У1";"Мотор-редуктор МПО1М-10-5,74-5,5/250-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-5,5/250-Ф2П-У1";;;1;5,74-5,5/250;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38156;69;"Мотор-редуктор МПО1М-10-5,74-3/250-Ф2П-У1";;125500;1;;;50;"Мотор-редуктор МПО1М-10-5,74-3/250-Ф2П-У1";"Мотор-редуктор МПО1М-10-5,74-3/250-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-3/250-Ф2П-У1";;;1;5,74-3/250;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38155;69;"Мотор-редуктор МПО1М-10-7,34-11/195-Ф2П-У1";;125240;1;;;49;"Мотор-редуктор МПО1М-10-7,34-11/195-Ф2П-У1";"Мотор-редуктор МПО1М-10-7,34-11/195-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-11/195-Ф2П-У1";;;1;7,34-11/195;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38154;69;"Мотор-редуктор МПО1М-10-7,34-7,5/195-Ф2П-У1";;124980;1;;;48;"Мотор-редуктор МПО1М-10-7,34-7,5/195-Ф2П-У1";"Мотор-редуктор МПО1М-10-7,34-7,5/195-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-7,5/195-Ф2П-У1";;;1;7,34-7,5/195;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38153;69;"Мотор-редуктор МПО1М-10-7,34-5,5/195-Ф2П-У1";;124720;1;;;47;"Мотор-редуктор МПО1М-10-7,34-5,5/195-Ф2П-У1";"Мотор-редуктор МПО1М-10-7,34-5,5/195-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-5,5/195-Ф2П-У1";;;1;7,34-5,5/195;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38152;69;"Мотор-редуктор МПО1М-10-7,34-3/195-Ф2П-У1";;124460;1;;;46;"Мотор-редуктор МПО1М-10-7,34-3/195-Ф2П-У1";"Мотор-редуктор МПО1М-10-7,34-3/195-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-3/195-Ф2П-У1";;;1;7,34-3/195;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38151;69;"Мотор-редуктор МПО1М-10-5,74-7,5/170-Ф2П-У1";;124200;1;;;45;"Мотор-редуктор МПО1М-10-5,74-7,5/170-Ф2П-У1";"Мотор-редуктор МПО1М-10-5,74-7,5/170-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-7,5/170-Ф2П-У1";;;1;5,74-7,5/170;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38150;69;"Мотор-редуктор МПО1М-10-5,74-5,5/170-Ф2П-У1";;123940;1;;;44;"Мотор-редуктор МПО1М-10-5,74-5,5/170-Ф2П-У1";"Мотор-редуктор МПО1М-10-5,74-5,5/170-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-5,5/170-Ф2П-У1";;;1;5,74-5,5/170;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38149;69;"Мотор-редуктор МПО1М-10-5,74-3/170-Ф2П-У1";;123680;1;;;43;"Мотор-редуктор МПО1М-10-5,74-3/170-Ф2П-У1";"Мотор-редуктор МПО1М-10-5,74-3/170-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-3/170-Ф2П-У1";;;1;5,74-3/170;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38148;69;"Мотор-редуктор МПО1М-10-7,34-7,5/130-Ф2П-У1";;123420;1;;;42;"Мотор-редуктор МПО1М-10-7,34-7,5/130-Ф2П-У1";"Мотор-редуктор МПО1М-10-7,34-7,5/130-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-7,5/130-Ф2П-У1";;;1;7,34-7,5/130;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38147;69;"Мотор-редуктор МПО1М-10-7,34-5,5/130-Ф2П-У1";;123160;1;;;41;"Мотор-редуктор МПО1М-10-7,34-5,5/130-Ф2П-У1";"Мотор-редуктор МПО1М-10-7,34-5,5/130-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-5,5/130-Ф2П-У1";;;1;7,34-5,5/130;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38146;69;"Мотор-редуктор МПО1М-10-7,34-3/130-Ф2П-У1";;122900;1;;;40;"Мотор-редуктор МПО1М-10-7,34-3/130-Ф2П-У1";"Мотор-редуктор МПО1М-10-7,34-3/130-Ф2П-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-3/130-Ф2П-У1";;;1;7,34-3/130;124;0;шт.;Ф2П;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38145;69;"Мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2В-У1";;122640;1;;;39;"Мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2В-У1";"Мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2В-У1";;;1;5,74-7,5/250;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38144;69;"Мотор-редуктор МПО1М-10-5,74-5,5/250-Ф2В-У1";;122380;1;;;38;"Мотор-редуктор МПО1М-10-5,74-5,5/250-Ф2В-У1";"Мотор-редуктор МПО1М-10-5,74-5,5/250-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-5,5/250-Ф2В-У1";;;1;5,74-5,5/250;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38143;69;"Мотор-редуктор МПО1М-10-5,74-3/250-Ф2В-У1";;122120;1;;;37;"Мотор-редуктор МПО1М-10-5,74-3/250-Ф2В-У1";"Мотор-редуктор МПО1М-10-5,74-3/250-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-3/250-Ф2В-У1";;;1;5,74-3/250;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38142;69;"Мотор-редуктор МПО1М-10-7,34-11/195-Ф2В-У1";;121860;1;;;36;"Мотор-редуктор МПО1М-10-7,34-11/195-Ф2В-У1";"Мотор-редуктор МПО1М-10-7,34-11/195-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-11/195-Ф2В-У1";;;1;7,34-11/195;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38141;69;"Мотор-редуктор МПО1М-10-7,34-7,5/195-Ф2В-У1";;121600;1;;;35;"Мотор-редуктор МПО1М-10-7,34-7,5/195-Ф2В-У1";"Мотор-редуктор МПО1М-10-7,34-7,5/195-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-7,5/195-Ф2В-У1";;;1;7,34-7,5/195;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38140;69;"Мотор-редуктор МПО1М-10-7,34-5,5/195-Ф2В-У1";;121340;1;;;34;"Мотор-редуктор МПО1М-10-7,34-5,5/195-Ф2В-У1";"Мотор-редуктор МПО1М-10-7,34-5,5/195-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-5,5/195-Ф2В-У1";;;1;7,34-5,5/195;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38139;69;"Мотор-редуктор МПО1М-10-7,34-3/195-Ф2В-У1";;121080;1;;;33;"Мотор-редуктор МПО1М-10-7,34-3/195-Ф2В-У1";"Мотор-редуктор МПО1М-10-7,34-3/195-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-3/195-Ф2В-У1";;;1;7,34-3/195;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38138;69;"Мотор-редуктор МПО1М-10-5,74-7,5/170-Ф2В-У1";;120820;1;;;32;"Мотор-редуктор МПО1М-10-5,74-7,5/170-Ф2В-У1";"Мотор-редуктор МПО1М-10-5,74-7,5/170-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-7,5/170-Ф2В-У1";;;1;5,74-7,5/170;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38137;69;"Мотор-редуктор МПО1М-10-5,74-5,5/170-Ф2В-У1";;120560;1;;;31;"Мотор-редуктор МПО1М-10-5,74-5,5/170-Ф2В-У1";"Мотор-редуктор МПО1М-10-5,74-5,5/170-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-5,5/170-Ф2В-У1";;;1;5,74-5,5/170;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38136;69;"Мотор-редуктор МПО1М-10-5,74-3/170-Ф2В-У1";;120300;1;;;30;"Мотор-редуктор МПО1М-10-5,74-3/170-Ф2В-У1";"Мотор-редуктор МПО1М-10-5,74-3/170-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-3/170-Ф2В-У1";;;1;5,74-3/170;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38135;69;"Мотор-редуктор МПО1М-10-7,34-7,5/130-Ф2В-У1";;120040;1;;;29;"Мотор-редуктор МПО1М-10-7,34-7,5/130-Ф2В-У1";"Мотор-редуктор МПО1М-10-7,34-7,5/130-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-7,5/130-Ф2В-У1";;;1;7,34-7,5/130;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38134;69;"Мотор-редуктор МПО1М-10-7,34-5,5/130-Ф2В-У1";;119780;1;;;28;"Мотор-редуктор МПО1М-10-7,34-5,5/130-Ф2В-У1";"Мотор-редуктор МПО1М-10-7,34-5,5/130-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-5,5/130-Ф2В-У1";;;1;7,34-5,5/130;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38133;69;"Мотор-редуктор МПО1М-10-7,34-3/130-Ф2В-У1";;119520;1;;;27;"Мотор-редуктор МПО1М-10-7,34-3/130-Ф2В-У1";"Мотор-редуктор МПО1М-10-7,34-3/130-Ф2В-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-3/130-Ф2В-У1";;;1;7,34-3/130;124;0;шт.;Ф2В;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38132;69;"Мотор-редуктор МПО1М-10-5,74-7,5/250-ВК-У1";;119260;1;;;26;"Мотор-редуктор МПО1М-10-5,74-7,5/250-ВК-У1";"Мотор-редуктор МПО1М-10-5,74-7,5/250-ВК-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-7,5/250-ВК-У1";;;1;5,74-7,5/250;124;0;шт.;ВК;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38131;69;"Мотор-редуктор МПО1М-10-5,74-5,5/250-ВК-У1";;119000;1;;;25;"Мотор-редуктор МПО1М-10-5,74-5,5/250-ВК-У1";"Мотор-редуктор МПО1М-10-5,74-5,5/250-ВК-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-5,5/250-ВК-У1";;;1;5,74-5,5/250;124;0;шт.;ВК;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38130;69;"Мотор-редуктор МПО1М-10-5,74-3/250-ВК-У1";;118740;1;;;24;"Мотор-редуктор МПО1М-10-5,74-3/250-ВК-У1";"Мотор-редуктор МПО1М-10-5,74-3/250-ВК-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-3/250-ВК-У1";;;1;5,74-3/250;124;0;шт.;ВК;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38129;69;"Мотор-редуктор МПО1М-10-7,34-11/195-ВК-У1";;118480;1;;;23;"Мотор-редуктор МПО1М-10-7,34-11/195-ВК-У1";"Мотор-редуктор МПО1М-10-7,34-11/195-ВК-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-11/195-ВК-У1";;;1;7,34-11/195;124;0;шт.;ВК;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38128;69;"Мотор-редуктор МПО1М-10-7,34-7,5/195-ВК-У1";;118220;1;;;22;"Мотор-редуктор МПО1М-10-7,34-7,5/195-ВК-У1";"Мотор-редуктор МПО1М-10-7,34-7,5/195-ВК-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-7,5/195-ВК-У1";;;1;7,34-7,5/195;124;0;шт.;ВК;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
38127;69;"Мотор-редуктор МПО1М-10-7,34-5,5/195-ВК-У1";;117960;1;;;21;"Мотор-редуктор МПО1М-10-7,34-5,5/195-ВК-У1";"Мотор-редуктор МПО1М-10-7,34-5,5/195-ВК-У1";"мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-7,34-5,5/195-ВК-У1";;;1;7,34-5,5/195;124;0;шт.;ВК;0;"У1/Агрегаты У1";1740724308;05926e8fc155fab038c7a521bd2c85d2
